Entity,Code,Year,AvgCigarettePriceDollars,AvgTaxesAsPctCigarettePrice,EnforceBansTobaccoAd,HelpToQuit
Solomon Islands,SLB,2012,,,4,3
Solomon Islands,SLB,2014,,,4,4
Somalia,SOM,2007,,,2,2
Somalia,SOM,2010,,,2,2
Somalia,SOM,2012,,,2,2
Somalia,SOM,2014,,,2,2
South Africa,ZAF,2007,,,4,3
South Africa,ZAF,2010,,,4,3
South Korea,KOR,2007,,,2,5
South Korea,KOR,2010,,,2,5
South Sudan,SSD,2012,,,2,1
South Sudan,SSD,2014,,,2,1
Spain,ESP,2007,,,4,4
Spain,ESP,2010,,,5,4
Sri Lanka,LKA,2007,,,4,3
Sri Lanka,LKA,2010,,,4,3
Sudan,SDN,2007,,,4,2
Sudan,SDN,2010,,,4,2
Sudan,SDN,2012,,,4,2
Sudan,SDN,2014,,,4,2
Suriname,SUR,2007,,,2,3
Suriname,SUR,2010,,,2,3
Suriname,SUR,2012,,,2,3
Suriname,SUR,2014,,,5,4
Sweden,SWE,2007,,,4,4
Sweden,SWE,2010,,,4,4
Switzerland,CHE,2007,,,2,4
Switzerland,CHE,2010,,,2,4
Syria,SYR,2007,,,4,4
Syria,SYR,2010,,,4,4
Syria,SYR,2012,,,4,4
Syria,SYR,2014,,,4,4
Tajikistan,TJK,2007,,,4,3
Tajikistan,TJK,2010,,,4,3
Tajikistan,TJK,2012,,,4,3
Tajikistan,TJK,2014,,,4,3
Tanzania,TZA,2007,,,4,4
Tanzania,TZA,2010,,,4,4
Tanzania,TZA,2012,,,4,4
Tanzania,TZA,2014,,,4,4
Thailand,THA,2007,,,4,4
Thailand,THA,2010,,,4,4
Timor,TLS,2007,,,2,2
Timor,TLS,2010,,,2,2
Timor,TLS,2012,,,2,2
Timor,TLS,2014,,,2,2
Togo,TGO,2007,,,2,3
Togo,TGO,2010,,,2,3
Togo,TGO,2012,,,5,3
Togo,TGO,2014,,,5,2
Tonga,TON,2007,,,4,2
Tonga,TON,2010,,,4,3
Tonga,TON,2014,,,4,4
Trinidad and Tobago,TTO,2007,,,2,3
Trinidad and Tobago,TTO,2010,,,2,3
Trinidad and Tobago,TTO,2012,,,2,4
Trinidad and Tobago,TTO,2014,,,2,4
Tunisia,TUN,2007,,,4,3
Tunisia,TUN,2010,,,4,3
Turkey,TUR,2007,,,2,3
Turkey,TUR,2010,,,4,5
Turkmenistan,TKM,2007,,,2,4
Turkmenistan,TKM,2010,,,2,4
Turkmenistan,TKM,2012,,,2,4
Turkmenistan,TKM,2014,,,4,4
Tuvalu,TUV,2007,,,2,4
Tuvalu,TUV,2010,,,5,4
Tuvalu,TUV,2012,,,5,4
Tuvalu,TUV,2014,,,5,4
Uganda,UGA,2007,,,2,4
Uganda,UGA,2010,,,2,4
Ukraine,UKR,2007,,,2,3
Ukraine,UKR,2010,,,4,3
United Arab Emirates,ARE,2007,,,4,3
United Arab Emirates,ARE,2010,,,4,5
United Kingdom,GBR,2007,,,4,5
United Kingdom,GBR,2010,,,4,5
United States,USA,2007,,,2,3
United States,USA,2010,,,2,5
Uruguay,URY,2007,,,2,5
Uruguay,URY,2010,,,4,5
Uzbekistan,UZB,2007,,,2,3
Uzbekistan,UZB,2010,,,2,3
Vanuatu,VUT,2007,,,2,2
Vanuatu,VUT,2010,,,5,3
Vanuatu,VUT,2012,,,5,3
Vanuatu,VUT,2014,,,5,3
Venezuela,VEN,2007,,,2,4
Venezuela,VEN,2010,,,2,4
Venezuela,VEN,2014,,,2,4
Vietnam,VNM,2007,,,4,3
Vietnam,VNM,2010,,,4,3
Yemen,YEM,2007,,,4,3
Yemen,YEM,2010,,,4,3
Zambia,ZMB,2007,,,2,3
Zambia,ZMB,2010,,,2,3
Zimbabwe,ZWE,2007,,,2,3
Zimbabwe,ZWE,2010,,,2,3
